"Date","Hour","Total (MWh)","Wind (MWh)","Geothermal (MWh)","Dammed Hydro With Reservoir (MWh)","Canal Type (MWh)","Run-of-River (MWh)","Land Fill Gas (MWh)","Biogas (MWh)","Sun (MWh)","Biomass (MWh)","Others (MWh)"
"01/06/2017","00:00","6,806.89","967.30","579.35","530.44","2,828.92","124.32","34.51","74.34","0.00","78.55","1,589.16"
"01/06/2017","01:00","6,740.30","989.41","584.54","559.39","2,774.30","121.71","32.18","74.06","0.00","74.05","1,530.66"
"01/06/2017","02:00","7,179.42","1,037.80","590.21","573.68","2,830.01","127.67","32.36","73.88","0.00","73.66","1,840.15"
"01/06/2017","03:00","7,100.16","1,059.19","592.69","527.73","2,829.10","130.40","32.94","74.49","0.00","81.54","1,772.08"
"01/06/2017","04:00","7,164.44","1,035.72","595.86","558.80","2,860.05","133.28","33.10","73.96","0.00","81.50","1,792.17"
"01/06/2017","05:00","7,004.70","989.08","596.51","553.59","2,843.77","129.78","32.67","73.79","0.14","83.33","1,702.04"
"01/06/2017","06:00","6,521.69","962.81","594.10","427.34","2,654.26","130.50","31.82","73.25","0.87","80.60","1,566.14"
"01/06/2017","07:00","6,516.97","954.58","590.65","461.46","2,755.95","127.81","30.96","73.36","3.14","74.29","1,444.77"
"01/06/2017","08:00","6,812.87","935.41","573.96","471.15","2,804.70","133.73","31.62","73.36","6.45","76.45","1,706.04"
"01/06/2017","09:00","7,393.98","864.62","559.24","558.49","2,976.12","132.28","33.62","73.43","9.17","78.66","2,108.35"
"01/06/2017","10:00","7,289.40","804.37","529.70","471.84","2,962.15","129.66","33.59","73.25","9.29","78.01","2,197.54"
"01/06/2017","11:00","7,662.81","832.04","521.66","544.49","3,081.92","126.98","32.30","70.67","7.00","79.19","2,366.56"
"01/06/2017","12:00","7,789.06","831.40","518.58","596.60","3,101.87","139.67","33.77","66.17","7.01","76.70","2,417.29"
"01/06/2017","13:00","7,831.56","852.28","512.40","544.22","3,087.50","136.06","34.61","73.31","6.83","78.01","2,506.34"
"01/06/2017","14:00","8,101.74","943.32","507.57","644.19","3,180.92","129.14","32.87","70.41","8.61","78.60","2,506.11"
"01/06/2017","15:00","8,146.28","1,014.25","505.10","643.48","3,134.48","128.04","32.99","71.86","7.74","79.66","2,528.68"
"01/06/2017","16:00","8,109.00","1,088.04","496.96","644.27","3,136.05","135.28","32.31","74.72","4.12","81.50","2,415.75"
"01/06/2017","17:00","7,689.30","1,151.28","496.98","538.53","2,999.07","132.78","32.10","73.67","1.88","72.64","2,190.37"
"01/06/2017","18:00","7,773.88","1,211.62","501.17","515.25","3,042.04","130.19","32.35","74.26","0.98","76.03","2,189.99"
"01/06/2017","19:00","7,908.51","1,185.79","513.14","538.71","3,154.00","136.39","35.05","73.66","0.22","77.46","2,194.09"
"01/06/2017","20:00","7,423.04","1,089.79","528.32","550.91","3,041.79","130.91","34.07","73.67","0.00","77.10","1,896.48"
"01/06/2017","21:00","7,755.52","1,034.26","536.53","579.65","3,007.46","137.46","33.73","73.58","0.00","78.43","2,274.42"
"01/06/2017","22:00","7,844.37","1,019.22","547.06","596.45","3,081.60","137.64","33.01","73.71","0.00","77.55","2,278.13"
"01/06/2017","23:00","7,153.79","966.49","556.09","551.31","2,899.46","137.73","33.55","72.98","0.00","80.32","1,855.86"
"02/06/2017","00:00","6,738.31","997.08","561.55","395.74","2,722.72","124.61","32.23","73.99","0.00","80.37","1,750.02"
"02/06/2017","01:00","6,749.54","950.28","565.96","517.84","2,679.22","126.52","31.08","74.05","0.00","73.21","1,731.38"
"02/06/2017","02:00","6,883.56","957.67","573.09","531.07","2,687.38","126.82","32.25","72.91","0.00","77.83","1,824.54"
"02/06/2017","03:00","6,594.25","941.22","577.67","392.31","2,590.77","134.27","31.34","74.06","0.00","81.26","1,771.35"
"02/06/2017","04:00","6,647.79","945.26","583.00","547.06","2,639.16","133.18","33.87","74.02","0.00","81.19","1,611.05"
"02/06/2017","05:00","6,585.34","933.86","581.91","524.68","2,672.09","133.25","33.45","74.05","0.17","82.77","1,549.11"
"02/06/2017","06:00","6,432.13","871.49","579.60","433.62","2,652.42","134.05","31.73","74.51","1.62","83.32","1,569.77"
"02/06/2017","07:00","5,882.30","770.50","574.48","390.70","2,519.72","125.01","32.04","72.50","4.89","80.91","1,311.55"
"02/06/2017","08:00","6,422.69","732.19","554.61","529.54","2,636.77","139.70","31.07","70.96","7.76","81.24","1,638.85"
"02/06/2017","09:00","6,628.48","713.02","533.20","540.49","2,765.91","140.54","35.85","72.17","9.95","80.81","1,736.54"
"02/06/2017","10:00","7,082.60","746.70","520.84","554.42","2,800.73","140.44","35.61","72.11","11.01","75.18","2,125.56"
"02/06/2017","11:00","7,344.10","737.37","504.55","597.84","2,960.85","137.10","35.87","71.60","10.00","74.90","2,214.02"
"02/06/2017","12:00","6,853.03","702.85","493.92","561.13","2,878.48","135.96","29.11","74.35","11.79","83.38","1,882.06"
"02/06/2017","13:00","5,909.56","702.44","484.44","447.60","2,605.29","128.25","31.12","74.01","10.39","84.35","1,341.67"
"02/06/2017","14:00","6,474.34","733.94","476.69","504.30","2,739.29","128.65","32.00","74.00","9.56","83.30","1,692.61"
"02/06/2017","15:00","6,900.86","774.89","474.56","585.28","2,919.43","133.41","32.53","73.73","8.27","77.21","1,821.55"
"02/06/2017","16:00","7,246.03","730.71","473.10","579.98","2,969.23","126.71","34.21","74.32","6.39","81.27","2,170.11"
"02/06/2017","17:00","7,949.89","1,007.26","472.90","595.53","3,097.12","136.52","33.61","73.98","3.68","84.01","2,445.28"
"02/06/2017","18:00","7,448.61","1,110.30","480.39","590.87","3,045.16","123.17","34.81","74.21","0.81","84.89","1,904.00"
"02/06/2017","19:00","7,121.54","982.13","495.97","504.99","3,022.27","123.15","35.47","72.18","0.01","81.47","1,803.90"
"02/06/2017","20:00","6,701.93","969.90","508.25","457.18","2,836.45","129.68","35.08","72.03","0.00","85.83","1,607.53"
"02/06/2017","21:00","6,869.17","934.48","519.44","474.98","2,828.18","136.34","36.40","71.20","0.00","85.82","1,782.33"
"02/06/2017","22:00","6,445.86","736.39","528.73","465.41","2,859.28","134.13","30.29","71.34","0.00","86.18","1,534.11"
"02/06/2017","23:00","6,175.12","589.93","541.24","441.70","2,804.27","137.23","32.74","71.08","0.00","85.52","1,471.41"
"03/06/2017","00:00","5,627.96","472.45","550.66","411.55","2,529.73","123.23","35.81","72.15","0.00","84.03","1,348.35"
"03/06/2017","01:00","5,499.16","400.31","554.46","436.68","2,519.33","119.93","30.50","73.44","0.00","80.28","1,284.23"
"03/06/2017","02:00","5,583.15","356.86","559.96","371.38","2,519.62","116.28","32.48","74.14","0.00","76.50","1,475.93"
"03/06/2017","03:00","5,402.09","366.50","560.58","454.48","2,419.50","123.97","32.02","73.87","0.00","76.62","1,294.55"
"03/06/2017","04:00","5,416.99","377.93","564.69","471.97","2,420.54","123.66","31.66","73.79","0.00","77.13","1,275.62"
"03/06/2017","05:00","5,804.25","366.09","567.13","466.59","2,534.16","115.67","30.89","73.53","0.13","77.34","1,572.72"
"03/06/2017","06:00","5,322.57","309.29","563.60","454.75","2,432.41","115.85","31.99","73.52","1.74","74.93","1,264.49"
"03/06/2017","07:00","5,838.40","246.54","555.82","551.57","2,668.91","115.06","31.05","73.20","4.50","74.71","1,517.04"
"03/06/2017","08:00","6,161.28","191.79","525.87","522.78","2,749.41","122.23","32.56","72.66","8.11","77.60","1,858.27"
"03/06/2017","09:00","5,977.66","134.34","520.84","560.53","2,709.45","128.20","34.56","73.20","9.72","77.04","1,729.78"
"03/06/2017","10:00","6,527.35","110.15","499.19","563.36","2,797.77","123.14","32.83","73.21","11.07","76.19","2,240.44"
"03/06/2017","11:00","6,692.33","114.30","482.64","565.92","2,892.96","116.47","33.48","74.16","12.55","76.33","2,323.52"
"03/06/2017","12:00","5,884.59","150.72","475.58","564.89","2,686.23","123.49","33.49","73.97","12.07","76.50","1,687.65"
