Tarih,TP DK USD A,
29-06-2018,4.61,
30-06-2018,,
01-07-2018,,
02-07-2018,4.56,
03-07-2018,4.62,
04-07-2018,4.66,
05-07-2018,4.70,
06-07-2018,4.64,
07-07-2018,,
08-07-2018,,
09-07-2018,4.60,
10-07-2018,4.53,
11-07-2018,4.71,
12-07-2018,4.75,
13-07-2018,4.82,
14-07-2018,,
15-07-2018,,
16-07-2018,4.84,
17-07-2018,4.84,
18-07-2018,4.84,
19-07-2018,4.79,
20-07-2018,4.82,
21-07-2018,,
22-07-2018,,
23-07-2018,4.80,
24-07-2018,4.75,
25-07-2018,4.78,
26-07-2018,4.85,
27-07-2018,4.82,
28-07-2018,,
29-07-2018,,
30-07-2018,4.86,
31-07-2018,4.89,
01-08-2018,4.90,
02-08-2018,4.92,
03-08-2018,5.05,
04-08-2018,,
05-08-2018,,
06-08-2018,5.08,
07-08-2018,5.15,
08-08-2018,5.26,
09-08-2018,5.28,
10-08-2018,5.40,
11-08-2018,,
12-08-2018,,
13-08-2018,5.94,
14-08-2018,6.88,
15-08-2018,6.55,
16-08-2018,6.14,
17-08-2018,5.80,
18-08-2018,,
19-08-2018,,
20-08-2018,5.99,
21-08-2018,,
22-08-2018,,
23-08-2018,,
24-08-2018,,
25-08-2018,,
26-08-2018,,
27-08-2018,5.99,
28-08-2018,6.19,
29-08-2018,6.22,
30-08-2018,,
31-08-2018,6.41,
01-09-2018,,
02-09-2018,,
03-09-2018,6.55,
04-09-2018,6.62,
05-09-2018,6.68,
06-09-2018,6.68,
07-09-2018,6.59,
08-09-2018,,
09-09-2018,,
10-09-2018,6.47,
11-09-2018,6.45,
12-09-2018,6.45,
13-09-2018,6.39,
14-09-2018,6.36,
15-09-2018,,
16-09-2018,,
17-09-2018,6.07,
18-09-2018,6.26,
19-09-2018,6.36,
20-09-2018,6.31,
21-09-2018,6.27,
22-09-2018,,
23-09-2018,,
24-09-2018,6.27,
25-09-2018,6.23,
26-09-2018,6.12,
27-09-2018,6.12,
28-09-2018,6.08,
29-09-2018,,
30-09-2018,,
01-10-2018,5.99,
02-10-2018,5.97,
03-10-2018,6.01,
04-10-2018,6.03,
05-10-2018,6.12,
06-10-2018,,
07-10-2018,,
08-10-2018,6.15,
09-10-2018,6.15,
10-10-2018,6.12,
11-10-2018,6.09,
12-10-2018,5.98,
13-10-2018,,
14-10-2018,,
15-10-2018,5.90,
16-10-2018,5.81,
17-10-2018,5.78,
18-10-2018,5.68,
19-10-2018,5.55,
20-10-2018,,
21-10-2018,,
22-10-2018,5.61,
23-10-2018,5.65,
24-10-2018,5.77,
25-10-2018,5.72,
26-10-2018,5.68,
27-10-2018,,
28-10-2018,,
29-10-2018,,
30-10-2018,5.62,
31-10-2018,5.52,
01-11-2018,5.50,
02-11-2018,5.57,
03-11-2018,,
04-11-2018,,
05-11-2018,5.46,
06-11-2018,5.45,
07-11-2018,5.34,
08-11-2018,5.36,
09-11-2018,5.41,
10-11-2018,,
11-11-2018,,
12-11-2018,5.48,
13-11-2018,5.48,
14-11-2018,5.48,
15-11-2018,5.46,
16-11-2018,5.42,
17-11-2018,,
18-11-2018,,
19-11-2018,5.34,
20-11-2018,5.32,
21-11-2018,5.33,
22-11-2018,5.35,
23-11-2018,5.30,
24-11-2018,,
25-11-2018,,
26-11-2018,5.28,
27-11-2018,5.24,
28-11-2018,5.24,
29-11-2018,5.25,
30-11-2018,5.16,
01-12-2018,,
02-12-2018,,
03-12-2018,5.16,
04-12-2018,5.19,
05-12-2018,5.27,
06-12-2018,5.37,
07-12-2018,5.36,
08-12-2018,,
09-12-2018,,
10-12-2018,5.33,
11-12-2018,5.28,
12-12-2018,5.35,
13-12-2018,5.36,
14-12-2018,5.36,
15-12-2018,,
16-12-2018,,
17-12-2018,5.37,
18-12-2018,5.38,
19-12-2018,5.35,
20-12-2018,5.33,
21-12-2018,5.26,
22-12-2018,,
23-12-2018,,
24-12-2018,5.27,
25-12-2018,5.29,
26-12-2018,5.30,
27-12-2018,5.28,
28-12-2018,5.29,
29-12-2018,,
30-12-2018,,
31-12-2018,5.26,
01-01-2019,,
02-01-2019,5.28,
03-01-2019,5.33,
04-01-2019,5.46,
05-01-2019,,
06-01-2019,,
07-01-2019,5.41,
08-01-2019,5.36,
09-01-2019,5.43,
10-01-2019,5.50,
11-01-2019,5.46,
12-01-2019,,
13-01-2019,,
14-01-2019,5.42,
15-01-2019,5.51,
16-01-2019,5.44,
17-01-2019,5.40,
18-01-2019,5.36,
19-01-2019,,
20-01-2019,,
21-01-2019,5.34,
22-01-2019,5.34,
23-01-2019,5.35,
24-01-2019,5.31,
25-01-2019,5.27,
26-01-2019,,
27-01-2019,,
28-01-2019,5.26,
29-01-2019,5.28,
30-01-2019,5.33,
31-01-2019,5.28,
01-02-2019,5.21,
02-02-2019,,
03-02-2019,,
04-02-2019,5.19,
05-02-2019,5.22,
06-02-2019,5.20,
07-02-2019,5.21,
08-02-2019,5.24,
09-02-2019,,
10-02-2019,,
11-02-2019,5.24,
12-02-2019,5.26,
13-02-2019,5.26,
14-02-2019,5.24,
15-02-2019,5.29,
16-02-2019,,
17-02-2019,,
18-02-2019,5.26,
19-02-2019,5.29,
20-02-2019,5.31,
21-02-2019,5.30,
22-02-2019,5.31,
23-02-2019,,
24-02-2019,,
25-02-2019,5.32,
26-02-2019,5.31,
27-02-2019,5.29,
28-02-2019,5.29,
01-03-2019,5.32,
02-03-2019,,
03-03-2019,,
04-03-2019,5.34,
05-03-2019,5.38,
06-03-2019,5.37,
07-03-2019,5.38,
08-03-2019,5.43,
09-03-2019,,
10-03-2019,,
11-03-2019,5.45,
12-03-2019,5.43,
13-03-2019,5.44,
14-03-2019,5.45,
15-03-2019,5.46,
16-03-2019,,
17-03-2019,,
