"Date","Hour","MCP (TL/MWh)","PTF (USD/MWh)","PTF (EUR/MWh)"
"01/07/2018","00:00","214.13","46.95","40.33"
"01/07/2018","01:00","192.49","42.21","36.26"
"01/07/2018","02:00","177.64","38.95","33.46"
"01/07/2018","03:00","225.92","49.54","42.55"
"01/07/2018","04:00","225.93","49.54","42.55"
"01/07/2018","05:00","210.00","46.05","39.55"
"01/07/2018","06:00","144.17","31.61","27.15"
"01/07/2018","07:00","170.00","37.27","32.02"
"01/07/2018","08:00","207.68","45.54","39.12"
"01/07/2018","09:00","140.01","30.70","26.37"
"01/07/2018","10:00","140.01","30.70","26.37"
"01/07/2018","11:00","209.99","46.04","39.55"
"01/07/2018","12:00","202.49","44.40","38.14"
"01/07/2018","13:00","202.49","44.40","38.14"
"01/07/2018","14:00","185.82","40.74","35.00"
"01/07/2018","15:00","161.45","35.40","30.41"
"01/07/2018","16:00","185.81","40.74","35.00"
"01/07/2018","17:00","164.45","36.06","30.97"
"01/07/2018","18:00","215.19","47.18","40.53"
"01/07/2018","19:00","225.64","49.47","42.50"
"01/07/2018","20:00","228.25","50.05","42.99"
"01/07/2018","21:00","229.78","50.38","43.28"
"01/07/2018","22:00","219.95","48.23","41.43"
"01/07/2018","23:00","140.01","30.70","26.37"
"02/07/2018","00:00","214.90","47.12","40.48"
"02/07/2018","01:00","199.99","43.85","37.67"
"02/07/2018","02:00","186.06","40.80","35.04"
"02/07/2018","03:00","199.10","43.66","37.50"
"02/07/2018","04:00","169.99","37.27","32.02"
"02/07/2018","05:00","140.10","30.72","26.39"
"02/07/2018","06:00","148.40","32.54","27.95"
"02/07/2018","07:00","130.00","28.50","24.49"
"02/07/2018","08:00","200.01","43.86","37.67"
"02/07/2018","09:00","219.95","48.23","41.43"
"02/07/2018","10:00","223.97","49.11","42.19"
"02/07/2018","11:00","225.34","49.41","42.44"
"02/07/2018","12:00","170.00","37.27","32.02"
"02/07/2018","13:00","202.18","44.33","38.08"
"02/07/2018","14:00","223.97","49.11","42.19"
"02/07/2018","15:00","219.94","48.23","41.43"
"02/07/2018","16:00","219.95","48.23","41.43"
"02/07/2018","17:00","225.57","49.46","42.49"
"02/07/2018","18:00","215.11","47.17","40.52"
"02/07/2018","19:00","192.39","42.18","36.24"
"02/07/2018","20:00","214.99","47.14","40.49"
