"Dönem","Birim Maliyeti (TL)"
"Haz - 2017","39,177"
"Tem - 2017","26,679"
"Aðu - 2017","25,340"
"Eyl - 2017","19,280"
"Eki - 2017","29,094"
"Kas - 2017","27,574"
"Ara - 2017","41,336"
"Oca - 2018","34,930"
"Þub - 2018","39,153"
"Mar - 2018","65,775"
"Nis - 2018","55,367"
"May - 2018","69,018"
"Haz - 2018","72,554"
"Tem - 2018","56,494"
"Aðu - 2018","68,361"
"Eyl - 2018","55,943"
"Eki - 2018","49,641"
"Kas - 2018","47,087"
"Ara - 2018","50,648"
"Oca - 2019","80,604"
"Þub - 2019","69,553"
"Mar - 2019","90,331"
"Nis - 2019","141,687"
"May - 2019","155,309"
"Haz - 2019","110,417"
