"Date","Hour","Matched Bids","Matched Offers"
"01/07/2018","00:00","15,402.30","15,402.30"
"01/07/2018","01:00","14,910.00","14,910.00"
"01/07/2018","02:00","14,405.90","14,406.00"
"01/07/2018","03:00","13,896.40","13,896.30"
"01/07/2018","04:00","13,990.50","13,990.40"
"01/07/2018","05:00","13,673.50","13,673.50"
"01/07/2018","06:00","14,257.50","14,257.50"
"01/07/2018","07:00","14,824.40","14,824.40"
"01/07/2018","08:00","15,393.00","15,393.00"
"01/07/2018","09:00","16,688.00","16,688.00"
"01/07/2018","10:00","17,688.70","17,688.80"
"01/07/2018","11:00","17,630.30","17,630.20"
"01/07/2018","12:00","17,492.10","17,492.00"
"01/07/2018","13:00","17,983.50","17,983.50"
"01/07/2018","14:00","17,965.00","17,965.00"
"01/07/2018","15:00","17,894.40","17,894.30"
"01/07/2018","16:00","17,556.50","17,556.50"
"01/07/2018","17:00","17,140.30","17,140.20"
"01/07/2018","18:00","16,777.20","16,777.10"
"01/07/2018","19:00","16,617.10","16,617.00"
"01/07/2018","20:00","17,244.20","17,244.20"
"01/07/2018","21:00","17,328.90","17,328.90"
"01/07/2018","22:00","15,401.30","15,401.20"
"01/07/2018","23:00","15,107.80","15,107.90"
"02/07/2018","00:00","14,493.00","14,493.00"
"02/07/2018","01:00","14,270.70","14,270.60"
"02/07/2018","02:00","14,066.30","14,066.30"
"02/07/2018","03:00","13,689.30","13,689.30"
"02/07/2018","04:00","13,653.40","13,653.30"
"02/07/2018","05:00","13,539.80","13,539.80"
"02/07/2018","06:00","14,455.00","14,455.00"
"02/07/2018","07:00","15,923.50","15,923.50"
"02/07/2018","08:00","18,620.40","18,620.40"
"02/07/2018","09:00","20,723.20","20,723.10"
"02/07/2018","10:00","21,204.60","21,204.70"
"02/07/2018","11:00","21,707.10","21,707.20"
"02/07/2018","12:00","21,146.80","21,146.80"
"02/07/2018","13:00","21,859.50","21,859.60"
"02/07/2018","14:00","22,223.80","22,223.80"
"02/07/2018","15:00","21,977.30","21,977.20"
"02/07/2018","16:00","21,721.00","21,720.80"
"02/07/2018","17:00","20,745.50","20,745.50"
"02/07/2018","18:00","19,356.60","19,356.60"
"02/07/2018","19:00","18,605.80","18,605.80"
"02/07/2018","20:00","19,321.10","19,321.10"
"02/07/2018","21:00","19,164.70","19,164.70"
"02/07/2018","22:00","16,607.20","16,607.20"
"02/07/2018","23:00","16,253.10","16,253.10"
"03/07/2018","00:00","14,997.60","14,997.60"
