Date,Hour,Total (MWh),Wind (MWh),Biogas (MWh),Canal Type (MWh),Biomass (MWh),Sun (MWh),Others (MWh)
01.06.2017,0:00,19.64,0,0,0,0,19.64,0
01.06.2017,1:00,20.52,0,0,0,0,20.52,0
01.06.2017,2:00,20.67,0,0,0,0,20.67,0
01.06.2017,3:00,21.59,0,0,0,0,21.59,0
01.06.2017,4:00,20.93,0,0,0,0,20.93,0
01.06.2017,5:00,25.79,0,0,0,0,25.79,0
01.06.2017,6:00,99.03,0,0,0,0,99.03,0
01.06.2017,7:00,319.39,0,0,0,0,319.39,0
01.06.2017,8:00,614.97,0,0,0,0,614.97,0
01.06.2017,9:00,840.17,0,0,0,0,840.17,0
01.06.2017,10:00,916.05,0,0,0,0,916.05,0
01.06.2017,11:00,926.75,0,0,0,0,926.75,0
01.06.2017,12:00,899.77,0,0,0,0,899.77,0
01.06.2017,13:00,908.25,0,0,0,0,908.25,0
01.06.2017,14:00,920.06,0,0,0,0,920.06,0
01.06.2017,15:00,850.56,0,0,0,0,850.56,0
01.06.2017,16:00,625.97,0,0,0,0,625.97,0
01.06.2017,17:00,389.2,0,0,0,0,389.2,0
01.06.2017,18:00,166.25,0,0,0,0,166.25,0
01.06.2017,19:00,50.41,0,0,0,0,50.41,0
01.06.2017,20:00,22.11,0,0,0,0,22.11,0
01.06.2017,21:00,20.74,0,0,0,0,20.74,0
01.06.2017,22:00,20.19,0,0,0,0,20.19,0
01.06.2017,23:00,19.69,0,0,0,0,19.69,0
02.06.2017,0:00,18.97,0,0,0,0,18.97,0
02.06.2017,1:00,20.09,0,0,0,0,20.09,0
02.06.2017,2:00,19.7,0,0,0,0,19.7,0
02.06.2017,3:00,19.81,0,0,0,0,19.81,0
02.06.2017,4:00,19.63,0,0,0,0,19.63,0
02.06.2017,5:00,27.76,0,0,0,0,27.76,0
02.06.2017,6:00,108.72,0,0,0,0,108.72,0
02.06.2017,7:00,332.3,0,0,0,0,332.3,0
02.06.2017,8:00,638.1,0,0,0,0,638.1,0
02.06.2017,9:00,892.47,0,0,0,0,892.47,0
02.06.2017,10:00,"1,022.46",0,0,0,0,"1,022.46",0
02.06.2017,11:00,"1,098.17",0,0,0,0,"1,098.17",0
02.06.2017,12:00,"1,087.29",0,0,0,0,"1,087.29",0
02.06.2017,13:00,"1,034.96",0,0,0,0,"1,034.96",0
02.06.2017,14:00,952.66,0,0,0,0,952.66,0
02.06.2017,15:00,803.67,0,0,0,0,803.67,0
02.06.2017,16:00,599.99,0,0,0,0,599.99,0
02.06.2017,17:00,345.57,0,0,0,0,345.57,0
02.06.2017,18:00,149.17,0,0,0,0,149.17,0
02.06.2017,19:00,44.63,0,0,0,0,44.63,0
02.06.2017,20:00,21.88,0,0,0,0,21.88,0
02.06.2017,21:00,20.51,0,0,0,0,20.51,0
02.06.2017,22:00,20.37,0,0,0,0,20.37,0
02.06.2017,23:00,20.52,0,0,0,0,20.52,0
03.06.2017,0:00,19.96,0,0,0,0,19.96,0
03.06.2017,1:00,19.59,0,0,0,0,19.59,0
03.06.2017,2:00,19.33,0,0,0,0,19.33,0
03.06.2017,3:00,18.34,0,0,0,0,18.34,0
03.06.2017,4:00,18.81,0,0,0,0,18.81,0
03.06.2017,5:00,26.36,0,0,0,0,26.36,0
03.06.2017,6:00,102.56,0,0,0,0,102.56,0
03.06.2017,7:00,336.75,0,0,0,0,336.75,0
03.06.2017,8:00,652.2,0,0,0,0,652.2,0
03.06.2017,9:00,925.29,0,0,0,0,925.29,0
03.06.2017,10:00,"1,102.93",0,0,0,0,"1,102.93",0
03.06.2017,11:00,"1,199.47",0,0,0,0,"1,199.47",0
03.06.2017,12:00,"1,196.24",0,0,0,0,"1,196.24",0
03.06.2017,13:00,"1,146.80",0,0,0,0,"1,146.80",0
03.06.2017,14:00,"1,044.15",0,0,0,0,"1,044.15",0
03.06.2017,15:00,855.66,0,0,0,0,855.66,0
